Product Name,Brand,Price (INR),Rating,RAM,Storage,Processor,Generation,GPU,Specs / Description
"HP 15, AMD Ryzen 7 5825U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge,15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, fc0476AU, Radeon Graphics, FHD Camera w/Shutter, Backlit Laptop",HP,"48,990",4.0 out of 5 stars,16GB,16GB,AMD,,Graphics,Service: Device Setup
"HP 15, 13th Gen Intel Core i5-1334U, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0577TU, Iris Xe, FHD Camera w/Shutter Laptop",HP,"52,490",3.8 out of 5 stars,16GB,16GB,Core i5,13th Gen,,Service: Device Setup
"ASUS Vivobook 15, Smartchoice,Intel Core i5 13th Gen 13420H,16GB RAM, 512GB SSD, FHD 15.6"",Windows 11, Office Home 2024, Quiet Blue, 1.70 kg, X1502VA-BQ836WS,Intel UHD iGPU, M365 Basic (1Year)* Laptop",ASUS,"52,990",4.1 out of 5 stars,16GB,16GB,Core i5,13th Gen,,Service: Device Setup
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",Lenovo,"47,400",4.2 out of 5 stars,16GB,16GB,Core i5,12th Gen,,Service: Device Setup
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",Lenovo,"35,670",4.0 out of 5 stars,16GB,16GB,AMD,,Graphics,Service: Device Setup
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",Lenovo,"44,999",4.0 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"HP 15, AMD Ryzen 5 7520U,(16GB DDR5, 512GB SSD), Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0690au, AMD Radeon Graphics, FHD Camera, Backlit KB Laptop",HP,"40,314",4.0 out of 5 stars,16GB,16GB,AMD,,Graphics,Service: Device Setup
"HP 15, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",HP,"37,990",4.0 out of 5 stars,12GB,12GB,Core i3,13th Gen,,Service: Device Setup
"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop",Lenovo,"48,990",3.6 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, WUXGA IPS, 14.0""/35.56 cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M,Backlit Keyboard, AI Powered Premium Laptop",acer,"52,990",3.5 out of 5 stars,16GB,16GB,,14th Gen,,Flat INR 5000 Off on Banks Cards
"Dell 15 Intel Core i5 13th Gen - 1334U, 16GB DDR4 RAM, 512GB SSD, FHD 15.6""/39.62 cm, Windows 11, MSO'24, Grey, 1.66kg, 120Hz 250 nits Display, 15 Month McAfee, Thin & Light Laptop",Dell,"53,990",3.7 out of 5 stars,16GB,16GB,Core i5,13th Gen,,Save extra with No Cost EMI
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 16GB RAM, 512GB SSD, FHD 14"", Windows 11, Office Home 2024, Black, 1.38kg, E1404FA-NK5542WS, AMD Radeon iGPU, 42WHrs, M365 Basic (1Year)* Laptop",ASUS,"40,990",4.0 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"ASUS Vivobook 15, Smartchoice, AMD Ryzen 7 5825U, 16GB RAM, 512GB SSD, FHD 15.6"", Windows 11, Office Home 2024, Quiet Blue, 1.7Kg, M1502YA-BQ703WS, AMD Radeon iGPU, M365 Basic (1Year)*, 42Whr Laptop",ASUS,"46,990",4.1 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"ASUS Vivobook Go 15, AMD Ryzen 3 7320U Thin & Light Laptop(AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Mixed Black/1.63 Kg) E1504FA-NJ130WS",ASUS,"31,430",4.2 out of 5 stars,8GB,8GB,AMD,,,Only 1 left in stock.
"HP 15, AMD Ryzen 5 7430U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge,15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver,1.59kg, fc0389AU, AMD Radeon, FHD Camera w/Shutter, Backlit Laptop",HP,"42,990",4.0 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"Acer Aspire Lite, 13th Gen, Intel Core i3-1305U, 8GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-53, Metal Body, 36 WHR, Thin and Light Premium Laptop",Acer,"32,990",3.9 out of 5 stars,8GB,8GB,Core i3,13th Gen,,Service: Device Setup
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD IPS, 15.6""/39.6cm, Windows 11, MSOffice 21, Grey, 1.6Kg, 83ER008DIN, Intel UHD Graphics, Backlit KB,1 Yr ADP Free Laptop",Lenovo,"47,500",4.0 out of 5 stars,16GB,16GB,Core i5,12th Gen,Graphics,7.5% Off on Select Bank Cards
"ASUS Vivobook 15,13th Gen,Intel Core i5-13420H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.70 kg) X1502VA-BQ1297WS",ASUS,"55,990",4.3 out of 5 stars,16GB,16GB,Core i5,13th Gen,,Service: Device Setup
"HP OmniBook 7 OLED, Intel Core Ultra 7 255H (32GB LPDDR5,1TB SSD), 3K, 0.2 ms, Micro-Edge, 14''/35.6cm, Win 11, M365, Office 24, Meteor Silver,1.5kg, fr0116TU, 5MP Camera w/Shutter, Backlit AI Laptop",HP,"1,09,990",3.5 out of 5 stars,32GB,32GB,,,,Service: Device Setup
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 3050, 16GB DDR4(Upgradeable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2700TX, Gaming Laptop",HP,"68,990",3.9 out of 5 stars,6GB,6GB,Core i5,13th Gen,RTX 3050,Service: Device Setup
"HP 15, AMD Ryzen 7 7735HS (16GB DDR5,512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, fc1038AU, AMD Radeon FHD Camera w/Shutter, Backlit Laptop",HP,"60,990",4.0 out of 5 stars,16GB,16GB,AMD,,,Service: Device Setup
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",HP,"30,590",4.0 out of 5 stars,8GB,8GB,AMD,,Graphics,Service: Device Setup
"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",Samsung,"51,700",4.1 out of 5 stars,16GB,16GB,Core i5,,Graphics,7.5% Off on Select Bank Cards
"Dell 15, 13th Generation Intel Core i5-1334U Processor, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm Display, Windows 11, MSO'24, Silver, 1.62kg, Backlit Keyboard, 15 Month McAfee, Thin & Light Laptop",Dell,"59,990",3.9 out of 5 stars,16GB,16GB,Core i5,13th Gen,,Service: Device Setup
